,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
50,Lavrentiya,97,RU,1563959941,79,65.58,-170.99,48.64,15.93
51,Santa Cruz,29,BR,1563913487,91,-6.22,-36.02,67.36,8.23
52,Iwanai,15,JP,1563876578,63,42.97,140.51,78.52,7.81
53,Dikson,100,RU,0,91,73.51,80.55,34.96,8.32
54,Yeppoon,0,AU,1563867061,36,-23.13,150.74,78.8,6.93
55,Mahebourg,75,MU,1563889673,68,-20.41,57.7,71.6,11.41
56,Cururupu,0,BR,1563915999,98,-1.82,-44.87,71.32,2.04
57,Sobolevo,100,RU,1563905359,99,54.43,31.9,59.62,1.79
58,Albany,90,US,1563927911,88,42.65,-73.75,66.2,5.82
59,Kodiak,1,US,1563846138,82,39.95,-94.76,69.01,8.05
60,Suntar,0,RU,1563888186,31,62.16,117.65,75.28,6.93
61,Half Moon Bay,20,US,1563852383,82,37.46,-122.43,71.6,17.22
62,Bethel,90,US,1563868093,64,60.79,-161.76,69.8,6.93
63,Altamira,30,BR,1563917640,80,-3.2,-52.21,73.48,1.12
64,San Patricio,96,PY,1563916483,86,-26.98,-56.83,68.44,3.76
65,Lorengau,63,PG,1563869866,74,-2.02,147.27,83.56,7.31
66,Novikovo,99,RU,1563902972,80,51.15,37.89,62.5,5.64
67,Port Elizabeth,1,US,1563927644,100,39.31,-74.98,79.0,4.74
68,Thompson,90,CA,1563850600,64,55.74,-97.86,69.8,2.24
69,Ayan,2,IR,1563898766,56,38.23,44.7,63.76,5.97
70,Ous,24,RU,1563900919,80,60.91,61.52,62.68,5.41
71,Ilulissat,0,GL,0,70,69.22,-51.1,44.6,10.27
72,Rio Gallegos,0,AR,1563915572,86,-51.62,-69.22,33.8,14.99
73,Rikitea,33,PF,1563849227,71,-23.12,-134.97,68.8,19.93
74,Provideniya,90,RU,1563959446,87,64.42,-173.23,50.0,13.42
75,Butaritari,100,KI,1563864191,69,3.07,172.79,85.36,8.03
76,Vilhena,0,BR,1563918693,50,-12.74,-60.15,72.58,2.13
77,Ibra,40,OM,1563893478,56,22.69,58.55,81.04,1.9
78,Marystown,0,CA,1563924338,87,47.17,-55.16,57.28,6.46
79,Broome,1,GB,1563912070,93,52.47,1.45,64.4,2.24
80,Zeven,0,DE,1563910434,100,53.3,9.28,62.01,4.7
81,Bubaque,100,GW,1563910200,89,11.28,-15.83,78.34,13.94
82,Souillac,0,FR,1563910926,64,45.6,-0.6,75.99,4.7
83,Tshikapa,0,CD,1563899834,33,-6.42,20.79,63.76,2.39
84,Shingu,40,JP,1563876216,79,33.72,135.99,84.2,6.93
85,Zaozerne,4,UA,1563906375,83,51.37,23.94,54.58,4.03
86,Alice Springs,0,AU,1563871049,21,-23.7,133.88,75.2,11.41
87,Arlit,0,NE,1563905345,30,18.74,7.39,94.0,11.63
88,Nikolskoye,0,RU,1563907672,82,59.7,30.79,57.2,3.56
89,Qaanaaq,100,GL,0,83,77.48,-69.36,38.56,16.22
90,Bibiani,82,GH,1563906516,99,6.45,-2.31,68.08,1.99
91,Yellowknife,20,CA,1563857709,38,62.45,-114.38,77.0,9.17
92,Esna,75,RO,1563904090,68,45.2,27.57,71.6,11.41
93,Zhangjiakou,0,CN,1563882341,50,40.77,114.88,75.46,11.14
94,Ahipara,80,NZ,1563860275,89,-35.17,173.16,61.0,19.75
95,Westport,90,US,1563927555,94,41.14,-73.36,73.99,6.93
96,Mount Gambier,75,AU,1563867683,100,-37.83,140.78,48.2,9.17
97,Sukhobuzimskoye,40,RU,1563891355,82,56.5,93.28,60.8,6.71
98,Creel,45,MX,1563847542,68,27.75,-107.63,60.88,2.89
99,San Cristobal,100,HN,1563841191,75,14.68,-86.92,67.9,4.81
100,Puerto Ayora,62,EC,1563840607,92,-0.74,-90.35,68.0,3.0
101,Lompoc,1,US,1563851501,87,34.64,-120.46,70.0,5.82
102,Plettenberg Bay,0,ZA,1563896388,42,-34.05,23.37,55.3,6.64
103,Turbat,85,PK,1563892762,69,26.0,63.05,82.84,2.91
104,Seoul,75,KR,1563878928,74,37.57,126.98,87.8,2.24
105,Tianjin,20,CN,1563881515,66,39.12,117.2,87.01,8.95
106,Masila,40,IN,1563886345,70,22.58,88.23,91.4,11.41
107,Arraial do Cabo,0,BR,1563913353,82,-22.97,-42.02,69.16,21.63
108,Mount Isa,0,AU,1563870006,13,-20.73,139.49,80.6,10.29
109,Nijkerk,90,NL,1563911034,93,52.22,5.48,64.99,3.36
110,Severo-Kurilsk,100,RU,1563874499,93,50.68,156.12,46.12,12.15
111,Fort Nelson,75,CA,1563857766,50,58.81,-122.69,78.8,3.36
112,Hilo,90,US,1563858046,83,19.71,-155.08,79.0,5.82
113,Tianpeng,26,CN,1563881273,68,28.88,112.34,91.66,4.34
114,East London,0,ZA,1563895429,62,-33.02,27.91,53.6,4.7
115,Alofi,2,NU,1563858027,64,-19.06,-169.92,73.4,6.93
116,San Borja,21,BO,1563920082,85,-14.86,-66.75,72.58,1.61
117,Shache,0,CN,1563890990,89,38.42,77.24,73.99,13.87
118,Kruisfontein,0,ZA,1563896068,33,-34.0,24.73,54.22,8.72
119,Saldanha,4,PT,1563911577,56,41.42,-6.55,71.32,4.25
120,Narasannapeta,97,IN,1563886921,70,18.42,84.04,85.36,0.6
121,Leh,0,IN,1563890289,38,34.16,77.58,47.74,3.74
122,Tasiilaq,0,GL,1563928050,93,65.61,-37.64,41.0,1.43
123,Katsuura,75,JP,1563876602,94,33.93,134.5,78.8,6.93
124,Crixas,100,BR,1563916083,54,-14.55,-49.97,69.7,6.2
125,Robertsport,100,LR,1563908717,91,6.75,-11.37,75.28,14.0
126,Manvi,100,IN,1563888359,71,16.0,77.05,79.6,13.31
127,Mayskiy,90,RU,1563899833,100,43.63,44.06,64.4,2.24
128,Vanino,98,RU,1563903128,81,53.93,40.55,61.0,3.98
129,Chivolo,86,CO,1563837801,92,10.03,-74.62,74.74,4.88
130,Aykhal,0,RU,1563892706,21,65.95,111.51,80.6,4.47
131,Kloulklubed,90,PW,1563873794,88,7.04,134.26,78.8,4.7
132,Iralaya,98,HN,1563840336,92,15.0,-83.23,76.0,2.57
133,Gandu,0,CN,1563884594,50,35.89,102.33,65.74,1.3
134,Mercedes,95,UY,1563916035,81,-33.25,-58.03,51.01,17.0
135,Hasaki,75,JP,1563875335,88,35.73,140.83,79.0,5.82
136,Quatre Cocos,75,MU,1563889678,68,-20.21,57.76,71.6,11.41
137,Laramie,40,US,1563848964,59,41.31,-105.59,66.2,10.29
138,Northam,40,AU,1563874286,72,-31.65,116.67,60.8,4.7
139,Sola,0,TZ,1563896999,53,-3.17,33.8,59.8,4.56
140,Chokurdakh,100,RU,0,50,70.62,147.9,46.12,4.61
141,Bredasdorp,0,ZA,1563897125,71,-34.53,20.04,55.4,4.7
142,Newport,75,US,1563927123,94,41.49,-71.31,72.0,9.13
143,Salalah,90,OM,1563893965,94,17.01,54.1,78.8,3.36
144,Harper,1,US,1563845838,51,30.3,-99.24,82.4,8.05
145,Carnot,100,CF,1563902018,94,4.94,15.87,68.08,2.35
146,Ust-Kalmanka,100,RU,1563892344,65,52.12,83.31,66.28,5.61
147,Mar del Plata,73,AR,1563916287,63,-46.43,-67.52,37.48,16.28
148,Houma,33,CN,1563882390,42,35.63,111.36,90.4,5.61
149,Yelbarga,100,IN,1563888570,78,15.63,76.02,75.82,19.08
150,Poltavka,100,RU,1563895780,83,54.36,71.76,65.74,3.58
151,Anadyr,20,RU,1563875719,50,64.73,177.51,57.2,11.18
152,Vaini,75,IN,1563888909,88,15.34,74.49,73.4,6.93
153,Pringsewu,1,ID,1563879721,44,-5.36,104.98,83.02,3.06
154,Zhigansk,47,RU,1563890852,21,66.77,123.37,71.14,4.65
155,Atar,21,MR,1563910431,16,20.52,-13.05,95.62,4.97
156,Olavarria,0,AR,1563916105,73,-36.89,-60.32,39.0,2.53
157,Cam Ranh,20,VN,1563880267,47,11.92,109.15,96.8,9.17
158,Atikokan,93,CA,1563847105,92,48.76,-91.62,58.54,4.79
159,Oskemen,75,KZ,1563891944,83,49.96,82.61,69.8,4.47
160,Deputatskiy,100,RU,0,38,69.3,139.9,55.3,7.16
161,Kenora,7,CA,1563848032,60,49.76,-94.48,69.8,10.29
162,Cortez,1,US,1563849044,28,37.35,-108.58,80.6,16.11
163,Barbosa,100,CO,1563837184,94,5.93,-73.61,64.48,4.38
164,Carnarvon,0,ZA,1563897068,38,-30.97,22.13,43.96,13.98
165,Bitkine,100,TD,1563902096,81,11.98,18.21,76.18,2.77
166,Dongying,100,CN,1563880901,84,37.43,118.67,79.06,5.57
167,Egvekinot,100,RU,1563962680,95,66.32,-179.17,44.5,3.67
168,Cherskiy,100,RU,1563886101,95,68.75,161.3,37.3,10.09
169,Velingara,0,SN,1563910464,78,13.64,-16.01,78.8,4.7
170,Great Falls,1,US,1563851535,53,47.5,-111.29,78.8,3.36
171,Umm Kaddadah,65,SD,1563900213,71,13.6,26.69,76.72,13.8
172,Lagoa,0,PT,1563911351,88,37.14,-8.45,73.99,2.24
173,Nantucket,40,US,1563926797,100,41.28,-70.1,73.4,14.99
174,Luderitz,0,NA,1563899235,90,-26.65,15.16,54.58,11.92
175,Nishihara,75,JP,1563875648,78,35.74,139.53,88.0,5.82
176,Raudeberg,75,NO,1563915039,93,61.99,5.14,60.01,10.29
177,Surgut,0,RU,1563898257,44,61.25,73.4,75.2,11.18
178,Kapaa,20,US,1563859310,83,22.08,-159.32,78.8,6.71
179,Sao Filipe,53,CV,1563912621,87,14.9,-24.5,75.46,15.05
180,Ilhabela,89,BR,1563914071,73,-23.78,-45.36,72.4,8.5
181,Castro,75,CL,1563918489,100,-42.48,-73.76,33.8,2.04
182,Sitka,0,US,1563846875,64,37.17,-99.65,69.01,1.01
183,Esperance,90,AU,1563872757,82,-33.86,121.89,60.8,14.99
184,Vaitape,99,PF,1563853912,81,-16.52,-151.75,79.42,16.87
185,Cheremshan,0,RU,1563900732,89,54.66,51.51,57.46,8.3
186,Margate,75,AU,1563865318,54,-43.03,147.26,53.6,16.11
187,Ukiah,1,US,1563852833,32,39.15,-123.21,80.6,3.04
188,Tessalit,55,ML,1563907024,37,20.2,1.01,88.78,3.53
189,Isangel,40,VU,1563862975,57,-19.55,169.27,75.2,9.17
190,Clyde River,1,CA,0,100,70.47,-68.59,39.2,2.24
191,Kindu,83,CD,1563898909,65,-2.95,25.92,68.62,2.84
192,Husavik,70,CA,1563848836,59,50.56,-96.99,66.99,10.33
193,Cairns,90,AU,1563868872,73,-16.92,145.77,73.99,16.11
194,Green River,20,US,1563849933,35,41.53,-109.47,69.8,14.99
195,Khuzhir,99,RU,1563886887,48,53.19,107.35,75.46,2.82
196,Constitucion,99,MX,1563846404,72,23.99,-104.67,64.99,4.0
197,Tuktoyaktuk,75,CA,0,82,69.44,-133.03,55.4,5.82
198,Bluff,0,AU,1563867415,42,-23.58,149.07,73.48,4.47
199,Gizo,20,IL,1563900205,78,31.8,34.94,77.0,9.17
200,Norman Wells,75,CA,1563862898,64,65.28,-126.83,71.6,3.36
201,New Glasgow,100,CA,1563925806,89,45.59,-62.65,66.99,4.0
202,Ust-Tsilma,98,RU,1563906388,90,65.44,52.15,56.74,7.81
203,Poum,20,MK,1563905015,77,41.28,20.71,62.6,5.82
204,Codrington,0,AU,1563865826,34,-28.95,153.24,78.8,8.05
205,Nanortalik,100,GL,1563926106,97,60.14,-45.24,39.1,3.06
206,Golden,1,US,1563848616,60,39.76,-105.22,70.0,5.82
207,Pangnirtung,85,CA,1563935341,71,66.15,-65.72,45.76,2.64
208,Tual,89,ID,1563873028,80,-5.67,132.75,76.9,18.32
209,Ponta do Sol,84,BR,1563914546,82,-20.63,-46.0,56.92,6.73
210,Biltine,100,TD,1563901684,69,14.53,20.93,79.6,16.58
211,Panalingaan,92,PH,1563877993,69,8.78,117.42,83.56,2.26
212,Douglas,40,US,1563860339,72,58.28,-134.39,73.4,6.93
213,Goderich,0,CA,1563930019,66,43.74,-81.71,66.0,16.84
214,Wewak,100,PG,1563870604,69,-3.55,143.63,82.84,3.6
215,Portland,90,US,1563927256,93,43.66,-70.25,64.4,0.51
216,Bulgan,100,MN,1563886650,94,48.81,103.53,55.12,7.02
217,Miramar,40,CR,1563840232,73,10.09,-84.73,72.0,8.05
218,Dakar,75,SN,1563910909,83,14.69,-17.45,77.0,3.36
219,Ourem,90,PT,1563911771,100,39.64,-8.59,64.99,6.93
220,Monte Alegre,0,BR,1563918191,82,-2.0,-54.07,73.66,2.44
221,Tuatapere,0,NZ,1563859853,93,-46.13,167.69,46.99,3.0
222,Cabo San Lucas,40,MX,1563847541,69,22.89,-109.91,82.0,11.41
223,Changde,0,CN,1563881450,64,29.04,111.68,92.02,5.88
224,Vao,100,EE,1563908496,72,59.1,26.19,60.34,3.85
225,Sioux Lookout,75,CA,1563847503,93,50.1,-91.92,60.8,6.08
226,San Quintin,0,PH,1563878079,67,17.54,120.52,86.08,4.9
227,Nouakchott,37,MR,1563910887,88,18.08,-15.98,75.2,5.82
228,Saskylakh,100,RU,0,40,71.97,114.09,74.38,14.81
229,Whyalla,0,AU,1563869094,48,-33.04,137.58,64.4,23.04
230,Sinnamary,69,GF,1563918576,77,5.38,-52.96,80.32,11.41
231,Severnoye,0,RU,1563900303,90,54.09,52.54,57.1,8.3
232,Cidreira,100,BR,1563914533,89,-30.17,-50.22,64.3,5.88
233,Katobu,0,ID,1563875546,47,-4.94,122.53,83.92,9.78
234,Rosarito,40,CO,1563837481,94,4.91,-75.23,68.0,3.36
235,Yumen,0,CN,1563886540,24,40.29,97.04,79.42,13.87
236,Port Lincoln,51,AU,1563869290,74,-34.72,135.86,59.08,37.07
237,Faanui,99,PF,1563853915,81,-16.48,-151.75,79.42,16.87
238,Bintulu,75,MY,1563878543,79,3.17,113.03,84.2,3.36
239,Puerto Narino,75,CO,1563835545,100,-3.77,-70.38,73.4,1.5
240,Turukhansk,28,RU,1563898182,42,65.8,87.96,73.84,4.9
241,Barrow,0,AR,1563915882,63,-38.31,-60.23,39.28,6.17
242,Vila Franca do Campo,20,PT,1563915511,88,37.72,-25.43,69.8,4.7
243,Rogers,1,US,1563845423,77,36.33,-94.12,73.0,5.82
244,Talara,5,PE,1563838086,89,-4.58,-81.27,65.02,20.74
245,Kamaishi,75,JP,1563875625,83,39.28,141.86,75.2,8.05
246,Hutchinson,0,US,1563846597,64,38.06,-97.93,73.4,5.82
247,Bela,57,PK,1563892006,65,26.23,66.31,85.0,2.98
248,Ishim,100,RU,1563896921,95,56.11,69.47,61.78,4.81
249,Klaksvik,33,FO,1563917994,100,62.23,-6.59,51.8,4.7
250,Oranjestad,20,AW,1563923322,78,12.52,-70.03,82.4,23.04
251,Lodja,1,CD,1563899416,48,-3.52,23.6,68.26,0.6
252,Soyo,0,AO,1563901881,91,-6.13,12.37,70.6,8.08
253,Porto Velho,0,BR,1563919947,88,-8.75,-63.87,75.2,0.85
254,Petropavlovsk-Kamchatskiy,40,RU,1563874546,68,53.05,158.65,64.4,4.47
255,Leningradskiy,82,RU,0,88,69.38,178.42,38.92,12.57
256,Shaoyang,20,CN,1563881291,77,27.23,111.45,84.46,4.7
257,Kaitangata,48,NZ,1563859305,88,-46.28,169.85,50.0,8.01
258,Muyezerskiy,40,RU,1563909996,68,63.93,31.65,58.36,2.57
259,Huambo,0,AO,1563900475,34,-12.78,15.73,46.84,0.4
260,Yulara,0,AU,1563871579,17,-25.24,130.99,71.6,11.41
261,Eydhafushi,97,MV,1563888305,78,5.1,73.07,83.56,13.24
262,Visby,0,SE,1563909767,77,57.64,18.3,64.0,5.82
263,Warri,100,NG,1563904498,91,5.52,5.75,75.1,6.8
264,Sabang,86,PH,1563877575,82,13.8,121.11,84.0,1.99
265,Iqaluit,75,CA,1563933852,100,63.75,-68.52,37.4,3.36
266,Geraldton,90,CA,1563932546,100,49.72,-86.95,59.0,5.82
267,Lucea,20,JM,1563839462,78,18.44,-78.17,80.6,8.05
268,Dingle,100,PH,1563876937,71,11.0,122.67,84.46,5.28
269,Ambilobe,85,MG,1563892440,75,-13.19,49.05,68.44,7.25
270,Noumea,0,NC,1563863374,56,-22.28,166.46,71.6,17.22
271,Pochutla,75,MX,1563843585,88,15.74,-96.47,77.0,8.05
272,Padang,67,ID,1563881222,67,-0.92,100.36,82.3,4.63
273,Winslow,9,GB,1563912481,93,51.94,-0.88,63.0,1.12
274,Sorland,0,NO,1563918685,87,67.67,12.69,55.4,2.24
275,Salinopolis,2,BR,1563916703,78,-0.61,-47.36,81.76,15.3
276,Siavonga,0,ZW,1563897008,85,-16.54,28.71,54.76,8.84
277,La Palma,100,CO,1563837320,91,5.36,-74.39,69.88,2.84
278,Tevaitoa,99,PF,1563853827,80,-16.78,-151.5,78.7,16.28
279,Guiratinga,97,BR,1563916824,53,-16.35,-53.76,70.96,4.65
280,Paamiut,9,GL,1563928170,95,61.99,-49.67,39.1,4.05
281,Jalu,0,LY,1563903073,44,29.03,21.55,71.86,10.56
282,Mount Pleasant,75,US,1563845184,69,33.16,-94.97,80.6,5.82
283,Ninghai,40,CN,1563879144,63,29.29,121.42,97.0,11.18
284,Makinsk,99,KZ,1563895579,81,52.63,70.42,64.3,11.74
285,Ambulu,0,ID,1563877383,80,-8.35,113.61,74.2,9.06
286,Ostrovnoy,96,RU,1563913015,61,68.05,39.51,53.32,4.94
287,Grindavik,20,IS,1563922880,100,63.84,-22.43,53.6,5.82
288,Bambanglipuro,94,ID,1563878218,77,-7.95,110.28,76.18,14.0
289,Fairbanks,1,US,1563867491,34,64.84,-147.72,80.6,4.7
290,Shimoda,75,JP,1563875645,94,34.7,138.93,84.2,11.41
291,Dubasari,0,MD,1563904136,82,47.26,29.16,68.0,3.36
292,Maryville,90,US,1563929267,100,35.76,-83.97,72.0,4.56
293,Lata,5,IN,1563889596,75,30.78,78.62,50.98,5.19
294,Nouadhibou,0,MR,1563911428,78,20.93,-17.03,71.6,26.4
295,Jagodina,0,RS,1563905367,100,43.98,21.26,59.0,1.12
296,Teya,90,MX,1563842345,88,21.05,-89.07,73.4,10.29
297,Te Anau,1,NZ,1563859981,77,-45.41,167.72,45.58,1.07
298,Meulaboh,71,ID,1563882685,72,4.14,96.13,81.04,7.18
299,Trujillo,100,VE,1563923130,80,9.37,-70.44,71.5,4.36
300,Mulchen,8,CL,1563918848,98,-37.72,-72.23,35.14,4.0
301,Antsla,100,EE,1563907871,100,57.83,26.53,60.8,3.36
302,Quelimane,40,MZ,1563894917,93,-17.88,36.89,59.0,3.36
303,Kirakira,64,SB,1563865596,77,-10.46,161.92,81.22,20.11
304,Fort Saint James,62,CA,1563856486,90,54.43,-124.25,55.12,16.93
305,Bhabua,97,IN,1563887721,53,25.04,83.61,93.28,10.31
306,Kavieng,74,PG,1563868970,75,-2.57,150.8,83.2,6.62
307,Caravelas,1,BR,1563913214,80,-17.73,-39.27,72.76,11.39
308,Port Hedland,0,AU,1563875068,13,-20.31,118.58,80.6,17.22
309,Vardo,90,US,1563928355,93,39.62,-77.74,73.0,11.41
310,Yerbogachen,100,RU,1563889981,37,61.28,108.01,76.72,12.06
311,Grimshaw,20,CA,1563855496,61,56.19,-117.61,77.0,2.24
312,Richards Bay,0,ZA,1563894940,34,-28.77,32.06,65.74,6.73
313,Rongcheng,100,CN,1563879961,70,37.16,122.42,84.82,12.26
314,Novozavidovskiy,100,RU,1563905001,93,56.55,36.43,58.36,3.89
315,Batticaloa,79,LK,1563886471,57,7.71,81.69,84.1,6.06
316,Mbanza-Ngungu,0,CD,1563901359,88,-5.25,14.87,64.48,4.0
317,Hameenlinna,0,FI,1563909847,100,61.0,24.46,60.01,2.21
318,Buarcos,90,PT,1563911925,100,40.16,-8.88,64.0,6.93
319,Puerto Escondido,75,MX,1563843741,88,15.86,-97.07,75.2,8.05
320,Calama,0,CL,1563919866,14,-22.46,-68.93,51.01,12.75
321,Singaraja,1,ID,1563877051,70,-8.11,115.08,77.8,3.62
322,Roanoke Rapids,40,US,1563927851,100,36.46,-77.65,75.0,3.36
323,Beringovskiy,100,RU,1563873989,66,63.05,179.32,52.6,1.7
324,Nabire,100,ID,1563872572,84,-3.36,135.5,73.84,5.68
325,Guerrero Negro,0,MX,1563849106,85,27.97,-114.04,68.26,9.33
326,Sal Rei,75,CV,1563912365,83,16.18,-22.92,75.2,14.99
327,Atambua,10,ID,1563874607,62,-9.11,124.89,77.62,7.99
328,Yar-Sale,22,RU,1563903500,66,66.83,70.83,57.1,13.65
329,De-Kastri,94,RU,1563878391,93,51.48,140.77,65.02,4.18
330,Tilichiki,100,RU,1563875627,60,60.47,166.1,57.64,8.25
331,Sept-Iles,75,CA,1563927732,87,50.2,-66.38,57.99,2.24
332,Touros,75,BR,1563913443,88,-5.2,-35.46,75.2,4.7
333,Retz,0,AT,1563907641,68,48.76,15.95,71.01,6.93
334,Sabzevar,0,IR,1563895351,10,36.21,57.68,76.72,3.38
335,Lebowakgomo,0,ZA,1563896035,60,-24.3,29.54,41.0,3.36
336,Bucerias,90,MX,1563846217,61,20.76,-105.33,82.4,5.82
337,Rio Grande,100,BR,1563914762,98,-32.03,-52.1,57.0,3.67
338,Rome,0,IT,1563907094,64,41.89,12.48,77.0,2.24
339,Cristalina,62,BR,1563915307,76,-16.77,-47.61,59.8,5.75
340,China,67,MX,1563845293,65,25.71,-99.24,82.3,14.97
341,Kongsvinger,90,NO,1563912411,100,60.19,12.01,59.0,4.7
342,Sorong,92,ID,1563873813,86,-0.86,131.25,78.16,11.36
343,Kieta,43,PG,1563867487,73,-6.22,155.63,83.38,8.12
344,Zhangye,100,CN,1563885502,51,38.94,100.46,63.76,6.62
345,Vila do Maio,40,CV,1563912336,69,15.13,-23.22,77.0,12.75
346,Thames,0,NZ,1563859432,76,-37.14,175.55,60.01,10.29
347,Daru,100,PG,1563870213,84,-9.07,143.21,79.42,11.95
348,Kushima,75,JP,1563877051,52,31.5,131.29,91.4,8.05
349,Iquitos,75,PE,1563836235,88,-3.75,-73.25,75.2,6.93
350,Karratha,69,AU,1563875440,15,-20.74,116.85,73.84,14.76
351,Moron,5,HT,1563924919,76,18.56,-74.26,80.32,4.38
352,Faya,0,SA,1563896897,30,18.39,42.45,75.2,1.59
353,Mildura,75,AU,1563867848,45,-34.18,142.16,62.6,17.22
354,Pisco,90,PE,1563836041,82,-13.71,-76.2,61.0,5.82
355,Penzance,0,GB,1563913120,93,50.12,-5.53,64.99,10.29
356,Los Llanos de Aridane,20,ES,1563912498,68,28.66,-17.92,69.8,12.75
357,Haines Junction,100,CA,1563862260,88,60.75,-137.51,56.74,4.68
358,Torbay,20,CA,1563923863,93,47.66,-52.73,55.99,10.29
359,Camacha,20,PT,1563912672,82,33.08,-16.33,68.0,10.29
360,Ozernovskiy,95,RU,1563874619,93,51.5,156.52,47.56,9.17
361,Itarema,0,BR,1563914714,80,-2.92,-39.92,75.46,7.94
362,Jaciara,58,BR,1563917154,52,-15.95,-54.98,69.16,2.71
363,Teeli,49,RU,1563890392,70,51.01,90.2,60.52,4.92
364,Saint-Leu,75,RE,1563890180,72,-21.15,55.28,68.0,9.17
365,Phalombe,8,MW,1563895412,96,-15.81,35.65,49.0,5.77
366,Tiznit,11,MA,1563910659,95,29.7,-9.73,66.1,3.6
367,Maymyo,90,MM,1563884309,83,22.03,96.47,84.2,11.41
368,Pacific Grove,75,US,1563852135,82,36.62,-121.92,75.0,4.7
369,Hofn,100,IS,1563921469,93,64.25,-15.21,40.72,10.07
370,Hamilton,90,CA,1563929489,88,43.26,-79.87,69.01,5.82
371,Rincon,75,PA,1563839495,94,8.46,-82.28,77.0,3.36
372,Tazovskiy,91,RU,1563902568,76,67.47,78.7,50.08,15.86
373,Ambon,0,FR,1563911807,88,47.55,-2.56,66.99,10.29
374,Riyadh,0,SA,1563896527,13,24.63,46.72,91.4,6.93
375,Tura,100,RU,1563893842,39,64.27,100.22,73.3,13.6
376,Tucuman,24,PE,1563834438,40,-17.17,-70.89,52.42,3.29
